2026-06-09 13:26:50 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 13:26:50 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 13:26:50 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 13:26:50 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 13:26:56 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-09 13:26:56 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-09 13:26:57 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 13:26:57 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 13:26:57 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 13:26:57 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 13:26:57 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 13:26:58 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-09 13:26:58 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-09 13:27:00 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 13:27:00 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 13:27:00 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 13:27:00 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 13:27:00 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 13:27:05 | INFO     | EquationAI.file_service   | save_upload:82 | Saved upload: b1cf447ca8a1_download.png (959 bytes)
2026-06-09 13:27:05 | INFO     | EquationAI.ocr_service    | _ensure_model:36 | Loading pix2tex LatexOCR model (first use)...
2026-06-09 17:59:58 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 17:59:58 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 17:59:58 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 17:59:58 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 17:59:58 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 18:00:44 | INFO     | EquationAI.file_service   | save_upload:82 | Saved upload: 1ee882951b64_images.png (2105 bytes)
2026-06-09 18:00:44 | INFO     | EquationAI.ocr_service    | _ensure_model:36 | Loading pix2tex LatexOCR model (first use)...
2026-06-09 18:08:10 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 18:08:10 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 18:08:10 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 18:08:10 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 18:08:10 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 18:08:12 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 18:08:12 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 18:08:12 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 18:08:12 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 18:08:12 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 18:08:13 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 18:08:13 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 18:08:13 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 18:08:14 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 18:08:14 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 18:08:14 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-09 18:08:14 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-09 18:08:16 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 18:08:16 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 18:08:16 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 18:08:16 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 18:08:16 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 18:08:22 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-09 18:08:22 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-09 18:08:24 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 18:08:24 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 18:08:24 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 18:08:24 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 18:08:24 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 18:09:00 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-09 18:09:00 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-09 18:09:26 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 18:09:26 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 18:09:26 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 18:09:26 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 18:09:26 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 18:09:36 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-09 18:09:36 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-09 18:09:38 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 18:09:38 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 18:09:38 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 18:09:38 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 18:09:38 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 18:09:38 | INFO     | EquationAI.file_service   | save_upload:82 | Saved upload: cec242132905_equation-analysis-report__5_.pdf (4218 bytes)
2026-06-09 18:09:39 | INFO     | EquationAI.ocr_service    | _ensure_model:36 | Loading pix2tex LatexOCR model (first use)...
2026-06-09 18:10:30 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 18:10:30 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 18:10:30 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 18:10:30 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 18:10:30 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 18:11:55 | INFO     | EquationAI.file_service   | save_upload:82 | Saved upload: 340dbdaa88ef_e1.pdf (1901 bytes)
